sqli_keyword_entropy,xss_script_score,phish_urgency_score,cmd_injection_score,path_traversal_score,user_agent_anomaly,payload_length,special_char_ratio,header_spf_dkim_fail,volumetric_rate_ratio,label,template_id
0.0,0.0,0.0,0.5,0.0,0.0,0.053,0.08490566037735849,0.0,0.0,0,tmpl_benign_sys_01
0.0,0.0,0.0,0.5,0.0,0.0,0.049,0.05102040816326531,0.0,0.0,0,tmpl_benign_doc_01
0.0,0.0,0.7,0.5,0.0,0.0,0.077,0.11038961038961038,0.0,0.0,1,tmpl_phish_01
0.0,0.0,0.0,0.5,0.0,0.0,0.06,0.25,0.0,1.0,1,tmpl_brute_01
0.0,0.0,0.0,0.5,0.0,0.0,0.0485,0.26804123711340205,0.0,1.0,0,tmpl_benign_json_02
0.0,0.8,0.0,0.5,0.0,0.0,0.0445,0.20224719101123595,0.0,0.0,1,tmpl_xss_03
1.0,0.0,0.0,0.5,0.0,0.0,0.041,0.14634146341463414,0.0,0.0,1,tmpl_sqli_02
0.0,0.0,0.0,0.5,1.0,0.0,0.016,0.46875,0.0,0.0,1,tmpl_path_01
0.0,0.4,0.0,0.5,0.0,0.0,0.021,0.23809523809523808,0.0,0.0,1,tmpl_xss_02
0.0,0.0,0.0,1.0,0.0,0.0,0.0655,0.16030534351145037,0.0,0.0,1,tmpl_cmd_02
1.0,0.0,0.0,0.5,0.0,0.0,0.035,0.12857142857142856,0.0,0.0,1,tmpl_sqli_02
0.0,0.0,0.7,0.5,0.0,0.0,0.0795,0.11949685534591195,0.0,0.0,1,tmpl_phish_01
0.4,0.0,0.0,0.5,0.0,0.0,0.04,0.1625,0.0,0.0,0,tmpl_benign_sql_02
0.0,0.0,0.0,0.5,0.0,0.0,0.047,0.06382978723404255,0.0,0.0,0,tmpl_benign_sys_01
0.0,0.0,0.0,0.5,0.0,0.0,0.0495,0.08080808080808081,0.0,0.0,0,tmpl_benign_sys_01
0.0,0.4,0.0,0.5,0.0,0.0,0.022,0.22727272727272727,0.0,0.0,1,tmpl_xss_05
0.0,0.0,0.0,1.0,0.0,0.0,0.0615,0.16260162601626016,0.0,0.0,1,tmpl_cmd_02
0.0,0.0,0.0,0.5,0.0,0.0,0.057,0.03508771929824561,0.0,0.0,0,tmpl_benign_email_01
0.0,0.0,0.0,0.5,0.0,0.0,0.047,0.06382978723404255,0.0,0.0,0,tmpl_benign_sys_01
0.0,0.0,0.0,1.0,0.0,0.0,0.0355,0.16901408450704225,0.0,0.0,1,tmpl_cmd_03
0.0,0.0,0.0,0.5,0.0,0.0,0.0505,0.27722772277227725,0.0,0.0,0,tmpl_benign_json_01
0.4,0.0,0.0,0.5,0.0,0.0,0.032,0.21875,0.0,0.0,1,tmpl_sqli_06
0.0,0.4,0.0,0.5,0.0,0.0,0.0235,0.2553191489361702,0.0,0.0,1,tmpl_xss_02
0.0,0.0,0.0,0.5,0.0,0.0,0.0575,0.06086956521739131,0.0,0.0,0,tmpl_benign_cmt_01
0.0,0.0,0.0,0.5,0.0,0.0,0.055,0.045454545454545456,0.0,0.0,0,tmpl_benign_email_02
0.0,0.0,0.35,0.5,0.0,0.0,0.0715,0.03496503496503497,1.0,0.0,1,tmpl_phish_02
0.0,0.0,0.0,0.5,0.0,0.0,0.0345,0.2028985507246377,0.0,0.0,0,tmpl_benign_url_01
0.0,0.4,0.0,0.5,0.0,0.0,0.0215,0.23255813953488372,0.0,0.0,1,tmpl_xss_04
0.0,0.0,0.0,0.5,0.0,0.0,0.055,0.045454545454545456,0.0,0.0,0,tmpl_benign_cmt_01
0.0,0.0,0.0,0.5,0.0,0.0,0.039,0.1794871794871795,0.0,0.0,0,tmpl_benign_url_02
0.0,0.0,0.0,0.5,0.0,0.0,0.0565,0.2743362831858407,0.0,0.0,0,tmpl_benign_json_01
0.8,0.0,0.0,0.5,0.0,0.0,0.031,0.20967741935483872,0.0,0.0,1,tmpl_sqli_05
0.0,0.4,0.0,0.5,0.0,0.0,0.0185,0.24324324324324326,0.0,0.0,1,tmpl_xss_04
0.0,0.0,0.0,0.5,1.0,0.0,0.022,0.4090909090909091,0.0,0.0,1,tmpl_path_01
0.0,0.0,0.0,0.5,0.0,1.0,0.068,0.2426470588235294,0.0,0.0,1,tmpl_vector_9
0.0,0.0,0.0,0.5,0.0,0.0,0.046,0.2608695652173913,0.0,1.0,0,tmpl_benign_json_02
0.0,0.0,0.0,0.5,0.0,0.0,0.054,0.1574074074074074,0.0,0.0,0,tmpl_benign_http_01
0.0,0.0,0.0,0.5,0.0,1.0,0.055,0.2545454545454545,0.0,0.0,1,tmpl_scan_01
0.4,0.0,0.0,0.5,0.0,0.0,0.046,0.08695652173913043,0.0,0.0,0,tmpl_benign_sql_01
0.0,0.0,0.0,1.0,0.0,0.0,0.0195,0.1794871794871795,0.0,0.0,1,tmpl_cmd_04
0.8,0.0,0.0,0.5,0.0,0.0,0.0225,0.2222222222222222,0.0,0.0,1,tmpl_sqli_03
0.8,0.0,0.0,0.5,0.0,0.0,0.029,0.1896551724137931,0.0,0.0,1,tmpl_sqli_05
0.0,0.0,0.7,0.5,0.0,0.0,0.2315,0.16414686825053995,0.0,0.0,1,tmpl_vector_1
0.0,0.0,1.0,0.5,0.0,0.0,0.0625,0.104,0.0,0.0,1,tmpl_phish_03
0.0,0.4,0.0,0.5,0.0,0.0,0.018,0.25,0.0,0.0,1,tmpl_xss_04
0.0,0.0,0.0,0.5,0.0,0.0,0.0575,0.06086956521739131,0.0,0.0,0,tmpl_benign_email_02
0.0,0.0,0.0,0.5,1.0,0.0,0.0195,0.38461538461538464,0.0,0.0,1,tmpl_path_02
0.0,0.0,0.0,0.5,0.0,0.0,0.059,0.2627118644067797,0.0,1.0,1,tmpl_ddos_01
0.0,0.0,0.7,0.5,0.0,0.0,0.083,0.12048192771084337,0.0,0.0,1,tmpl_phish_01
0.4,0.0,0.0,0.5,0.0,0.0,0.0295,0.2033898305084746,0.0,0.0,1,tmpl_sqli_06
0.0,0.0,0.0,0.5,0.0,0.0,0.047,0.0425531914893617,0.0,0.0,0,tmpl_benign_cmt_02
0.0,1.0,0.0,0.5,0.0,0.0,0.0535,0.2336448598130841,0.0,0.0,1,tmpl_xss_01
0.4,0.0,0.0,0.5,0.0,0.0,0.046,0.17391304347826086,0.0,0.0,0,tmpl_benign_sql_02
0.0,0.0,0.0,0.5,0.0,0.0,0.053,0.2830188679245283,0.0,0.0,0,tmpl_benign_json_01
0.0,1.0,0.0,0.5,0.0,0.0,0.0575,0.22608695652173913,0.0,0.0,1,tmpl_xss_01
0.0,0.0,0.0,1.0,0.0,0.0,0.032,0.171875,0.0,0.0,1,tmpl_cmd_03
1.0,0.0,0.0,0.5,0.0,1.0,0.13,0.25,0.0,0.0,1,tmpl_vector_2
0.0,0.0,0.0,0.5,1.0,0.0,0.0225,0.35555555555555557,0.0,0.0,1,tmpl_path_02
0.0,0.0,0.0,0.5,0.0,0.0,0.0575,0.06086956521739131,0.0,0.0,0,tmpl_benign_cmt_01
0.0,0.0,0.0,0.5,0.0,0.0,0.039,0.1794871794871795,0.0,0.0,0,tmpl_benign_url_02
0.0,0.8,0.0,0.5,0.0,0.0,0.0425,0.18823529411764706,0.0,0.0,1,tmpl_xss_03
0.0,0.0,0.0,1.0,0.0,0.0,0.025,0.2,0.0,0.0,1,tmpl_cmd_04
0.8,0.0,0.0,0.5,0.0,0.0,0.0205,0.2926829268292683,0.0,0.0,1,tmpl_sqli_01
0.0,0.0,0.0,0.5,0.0,0.0,0.0565,0.2743362831858407,0.0,0.0,0,tmpl_benign_json_01
0.0,0.0,0.0,0.5,0.0,0.0,0.0565,0.168141592920354,0.0,0.0,0,tmpl_benign_http_01
1.0,0.0,0.0,0.5,0.0,0.0,0.0375,0.14666666666666667,0.0,0.0,1,tmpl_sqli_02
0.0,0.4,0.0,0.5,0.0,0.0,0.022,0.22727272727272727,0.0,0.0,1,tmpl_xss_05
0.8,0.0,0.0,0.5,0.0,0.0,0.0275,0.16363636363636364,0.0,0.0,1,tmpl_sqli_04
0.0,0.0,0.0,0.5,0.0,0.0,0.061,0.06557377049180328,0.0,0.0,0,tmpl_benign_email_02
0.0,0.0,0.0,0.5,0.0,0.0,0.047,0.06382978723404255,0.0,0.0,0,tmpl_benign_sys_01
0.0,0.0,0.0,0.5,0.0,0.0,0.0485,0.05154639175257732,0.0,0.0,0,tmpl_benign_doc_01
0.0,0.0,0.7,0.5,0.0,0.0,0.066,0.09848484848484848,0.0,0.0,1,tmpl_phish_04
0.0,0.0,0.0,0.5,0.0,0.0,0.059,0.2627118644067797,0.0,1.0,1,tmpl_ddos_01
0.0,0.0,0.0,0.5,0.0,0.0,0.047,0.06382978723404255,0.0,0.0,0,tmpl_benign_sys_01
0.0,0.0,0.0,1.0,0.0,0.0,0.062,0.16129032258064516,0.0,0.0,1,tmpl_cmd_02
0.0,0.0,0.0,0.5,1.0,0.0,0.029,0.3620689655172414,0.0,0.0,1,tmpl_path_03
0.4,0.0,0.0,0.5,0.0,0.0,0.0295,0.2033898305084746,0.0,0.0,1,tmpl_sqli_06
0.0,0.0,0.0,0.5,0.0,0.0,0.047,0.0425531914893617,0.0,0.0,0,tmpl_benign_cmt_02
0.0,0.0,0.0,1.0,0.0,0.0,0.0325,0.16923076923076924,0.0,0.0,1,tmpl_cmd_03
0.0,0.0,0.35,0.5,0.0,0.0,0.077,0.05194805194805195,1.0,0.0,1,tmpl_phish_02
0.0,0.0,0.0,0.5,0.0,0.0,0.06,0.16666666666666666,0.0,0.0,0,tmpl_benign_http_01
0.0,0.0,0.0,1.0,0.0,0.0,0.0255,0.19607843137254902,0.0,0.0,1,tmpl_cmd_04
0.0,0.0,0.0,0.5,0.0,0.0,0.038,0.19736842105263158,0.0,0.0,0,tmpl_benign_url_01
0.0,0.0,0.0,0.5,0.0,0.0,0.0465,0.03225806451612903,0.0,0.0,0,tmpl_benign_doc_01
0.0,0.0,0.0,0.5,0.0,0.0,0.057,0.2543859649122807,0.0,1.0,1,tmpl_brute_01
0.0,0.4,0.0,0.5,0.0,0.0,0.027,0.24074074074074073,0.0,0.0,1,tmpl_xss_02
1.0,0.0,0.0,0.5,0.0,0.0,0.035,0.12857142857142856,0.0,0.0,1,tmpl_sqli_02
0.8,0.0,0.0,0.5,0.0,0.0,0.0195,0.23076923076923078,0.0,0.0,1,tmpl_sqli_03
0.0,0.0,0.0,0.5,0.0,0.0,0.061,0.06557377049180328,0.0,0.0,0,tmpl_benign_cmt_01
0.8,0.0,0.0,0.5,0.0,0.0,0.0195,0.23076923076923078,0.0,0.0,1,tmpl_sqli_03
0.0,0.0,0.0,0.5,0.0,0.0,0.0575,0.06086956521739131,0.0,0.0,0,tmpl_benign_cmt_01
0.0,0.0,0.0,0.5,0.0,0.0,0.038,0.19736842105263158,0.0,0.0,0,tmpl_benign_url_01
0.0,0.0,0.0,0.5,0.0,0.0,0.049,0.061224489795918366,0.0,0.0,0,tmpl_benign_cmt_02
0.4,0.0,0.0,0.5,0.0,0.0,0.0355,0.2112676056338028,0.0,0.0,1,tmpl_sqli_06
0.0,0.0,1.0,0.5,0.0,0.0,0.0605,0.09090909090909091,0.0,0.0,1,tmpl_phish_03
0.0,0.0,0.0,0.5,0.0,0.0,0.0565,0.061946902654867256,0.0,0.0,1,tmpl_prompt_01
0.8,0.0,0.0,0.5,0.0,0.0,0.029,0.1896551724137931,0.0,0.0,1,tmpl_sqli_05
0.0,0.0,0.0,0.5,0.0,0.0,0.033,0.16666666666666666,0.0,0.0,0,tmpl_benign_url_02
0.0,0.0,0.0,0.5,0.0,0.0,0.053,0.08490566037735849,0.0,0.0,0,tmpl_benign_sys_01
